"","X","bigram","bigram_d_freq","bigram_r_freq","chisq()"
"84688",84688,"climat chang",2095,256,7.87012376956405e-05
"287967",287967,"mr presid",9043,4758,7.28339682157523e-05
"372713",372713,"unanim consent",6633,3186,6.62313365550846e-05
"313121",313121,"presid ask",4198,1560,6.61347344923027e-05
"285218",285218,"minimum wage",1822,264,6.36626978822846e-05
"69090",69090,"care law",157,1530,6.11337375547402e-05
"36441",36441,"ask unanim",6011,2903,5.93083840935309e-05
"341982",341982,"senat proceed",1263,162,4.65380846209967e-05
"329692",329692,"republican colleagu",1018,78,4.41048213913263e-05
"344487",344487,"session senat",1144,157,4.09640411748264e-05
"282638",282638,"meet session",1075,137,3.97142831252807e-05
"333274",333274,"rhode island",998,116,3.82026352298038e-05
"40413",40413,"author meet",1035,134,3.79907370968815e-05
"295470",295470,"obama administr",285,1350,3.79520447458758e-05
"146896",146896,"eagl scout",15,710,3.64471607970166e-05
"292709",292709,"new york",3155,1464,3.38737968044078e-05
"215612",215612,"gun violenc",624,15,3.17514661564455e-05
"234998",234998,"immigr reform",1457,417,3.15759547809075e-05
"101901",101901,"consent member",9,573,2.98995000179394e-05
"341908",341908,"senat offic",755,81,2.97268062816465e-05
"356406",356406,"student loan",1476,465,2.88096357317148e-05
"6177",6177,"action debat",652,55,2.75778827614284e-05
"249237",249237,"interven action",647,54,2.74424510839796e-05
"101972",101972,"consent senat",955,196,2.73810721435684e-05
"101813",101813,"consent committe",833,143,2.66861810042551e-05
"82628",82628,"civil right",1111,291,2.62378277146961e-05
"383893",383893,"white hous",609,1633,2.55877705774319e-05
"12660",12660,"afford care",2646,1292,2.54724113458781e-05
"323232",323232,"read titl",3,469,2.51684183454377e-05
"26272",26272,"american peopl",3357,5351,2.49892770600319e-05
"296724",296724,"offic build",764,131,2.44917898218177e-05
"68462",68462,"carbon pollut",484,15,2.41141451452014e-05
"123218",123218,"day revis",8,463,2.40451755310619e-05
"13355",13355,"african american",797,154,2.37836715415416e-05
"138852",138852,"dirksen senat",547,43,2.35525510648942e-05
"84578",84578,"clerk read",24,498,2.35458003714608e-05
"275961",275961,"major leader",995,2140,2.28803566502995e-05
"287240",287240,"motion reconsid",680,108,2.27143041641535e-05
"68618",68618,"care act",2689,1395,2.24333809378878e-05
"313394",313394,"presid health",11,439,2.22689936247858e-05
"360066",360066,"tabl interven",510,38,2.22398233717189e-05
"265810",265810,"legisl day",85,614,2.19010860123321e-05
"373284",373284,"unemploy insur",801,176,2.18727585215274e-05
"233932",233932,"illeg immigr",90,624,2.18482240678468e-05
"96778",96778,"comprehens immigr",639,98,2.1724982117726e-05
"280455",280455,"may legisl",6,413,2.16271665965987e-05
"350361",350361,"speaker move",50,521,2.12536804879012e-05
"28195",28195,"announc senat",395,3,2.11209473152159e-05
"168835",168835,"execut session",417,11,2.10684866894312e-05
"334873",334873,"rollcal vote",1045,324,2.07737299727507e-05
"283097",283097,"member may",20,433,2.0598117882117e-05
"154683",154683,"employ mandat",22,438,2.05804389720486e-05
"391862",391862,"youth award",385,3,2.0574016979943e-05
"322084",322084,"rais minimum",493,46,2.02793468010064e-05
"220060",220060,"hear entitl",569,79,2.02697048532683e-05
"374485",374485,"upon tabl",593,94,1.9827846658181e-05
"274814",274814,"madam presid",2928,1644,1.97309199199581e-05
"288033",288033,"mr speaker",15319,18811,1.95811708147672e-05
"288768",288768,"muslim brotherhood",3,361,1.92614152057942e-05
"260574",260574,"laid upon",586,97,1.91526166849671e-05
"336987",336987,"san francisco",511,65,1.88919067920753e-05
"328081",328081,"remark includ",4,355,1.8773411041166e-05
"238751",238751,"includ extran",6,360,1.87304844265923e-05
"248396",248396,"interest rate",945,296,1.85678650816862e-05
"313569",313569,"presid offic",930,289,1.8439799323048e-05
"1216",1216,"absent senat",6,354,1.84026097132519e-05
"58917",58917,"boy scout",77,528,1.83919153035342e-05
"287018",287018,"morn busi",808,221,1.83189319987438e-05
"361939",361939,"tea parti",612,119,1.81889950320711e-05
"350112",350112,"speaker boehner",515,73,1.81759055783509e-05
"371079",371079,"trillion debt",38,433,1.8121717243009e-05
"307484",307484,"period morn",444,43,1.80628481013327e-05
"361483",361483,"tax break",394,23,1.80566236788375e-05
"329669",329669,"republican budget",549,90,1.80365956770665e-05
"320305",320305,"public health",757,197,1.79831273660728e-05
"315651",315651,"proceed execut",352,8,1.79819925273102e-05
"345841",345841,"shut govern",766,203,1.78949673326312e-05
"329789",329789,"republican leadership",457,50,1.78734249068039e-05
"382072",382072,"web site",255,857,1.78291028401276e-05
"367280",367280,"titl bill",40,432,1.78096844509631e-05
"361341",361341,"tar sand",336,4,1.77345512500149e-05
"372145",372145,"two leader",475,60,1.76104315048729e-05
"87172",87172,"colleagu join",1677,792,1.73555742622214e-05
"98519",98519,"conduct hear",486,72,1.6803301341544e-05
"313564",313564,"presid obama",1721,2905,1.65814523708676e-05
"161482",161482,"equal pay",359,21,1.64465082630848e-05
"284058",284058,"middl class",1403,625,1.63288012050173e-05
"379089",379089,"vote right",470,71,1.60981605708595e-05
"339081",339081,"sea level",308,6,1.58893661698803e-05
"172501",172501,"extran materi",65,452,1.58474191736237e-05
"342061",342061,"senat resum",377,34,1.5659253629452e-05
"299177",299177,"open govern",400,44,1.56150165898561e-05
"287486",287486,"move proceed",338,19,1.55932451671506e-05
"329788",329788,"republican leader",629,156,1.55914372231524e-05
"386500",386500,"work hard",1221,518,1.55477396570489e-05
"219200",219200,"head start",518,102,1.5269491597435e-05
"178005",178005,"farm bill",1632,807,1.5267534874992e-05
"175679",175679,"fair shot",342,23,1.52514820846646e-05
"321947",321947,"radic islam",4,290,1.52197176727561e-05
"128234",128234,"deepest congratul",281,1,1.52085752073902e-05
"314309",314309,"previou order",382,41,1.50381120283772e-05
"35952",35952,"ask colleagu",1445,683,1.49280731149064e-05
"339026",339026,"scout america",48,396,1.49211034678224e-05
"344462",344462,"session consid",291,7,1.48061577265045e-05
"266254",266254,"legisl session",318,17,1.47948654091452e-05
"161417",161417,"equal divid",522,110,1.46928905832058e-05
"256252",256252,"join recogn",511,105,1.46386445495405e-05
"289568",289568,"nation debt",146,587,1.45146141272743e-05
"209937",209937,"govern shutdown",1054,431,1.42988067474296e-05
"102703",102703,"consid made",393,52,1.42946720082e-05
"233867",233867,"illeg alien",3,269,1.42303541019885e-05
"275083",275083,"made laid",422,66,1.42071394547268e-05
"325452",325452,"reconsid consid",390,53,1.40243091236298e-05
"131476",131476,"democrat republican",869,318,1.3992507728027e-05
"17974",17974,"al qaeda",124,529,1.3741282076064e-05
"342051",342051,"senat republican",600,163,1.36921402494519e-05
"305824",305824,"peopl disabl",307,21,1.36420893851311e-05
"271547",271547,"loan debt",341,37,1.33745513805183e-05
"157146",157146,"energi effici",635,189,1.32061722640336e-05
"329746",329746,"republican friend",291,18,1.3194381331167e-05
"44641",44641,"balanc time",2197,3353,1.31755706599483e-05
"328557",328557,"repeal afford",286,17,1.30642356580388e-05
"175745",175745,"fairfax counti",256,6,1.30496789199789e-05
"387061",387061,"work togeth",1825,1004,1.30357330251709e-05
"386405",386405,"work famili",609,180,1.2760603132504e-05
"267152",267152,"let us",835,317,1.27423428307946e-05
"205133",205133,"go confer",629,192,1.27248917885531e-05
"157673",157673,"enforc law",129,512,1.25189995237759e-05
"304798",304798,"pay bill",594,176,1.2413521698131e-05
"335240",335240,"rule law",222,669,1.22679892377999e-05
"53612",53612,"bill hr",148,540,1.22184162666946e-05
"188970",188970,"follow leader",283,22,1.22180893599159e-05
"385484",385484,"women health",283,22,1.22180893599159e-05
