"","x"
"mr speaker",15319
"mr presid",9043
"unit state",8402
"unanim consent",6633
"ask unanim",6011
"health care",4640
"presid ask",4198
"speaker rise",4017
"rise today",3829
"american peopl",3357
"make sure",3272
"new york",3155
"ca nt",2955
"madam presid",2928
"last year",2754
"care act",2689
"afford care",2646
"would like",2451
"high school",2336
"year ago",2265
"balanc time",2197
"climat chang",2095
"urg colleagu",2085
"feder govern",2065
"mr chairman",2045
"across countri",2001
"homeland secur",1952
"hous repres",1920
"yield floor",1911
"side aisl",1875
"work togeth",1825
"minimum wage",1822
"men women",1777
"small busi",1759
"presid obama",1721
"health insur",1714
"million american",1701
"colleagu join",1677
"speaker yield",1662
"farm bill",1632
"law enforc",1559
"rank member",1557
"move forward",1511
"yield back",1507
"yield minut",1479
"student loan",1476
"immigr reform",1457
"ask colleagu",1445
"bill would",1440
"everi day",1439
"fiscal year",1410
"middl class",1403
"hard work",1373
"nation secur",1373
"madam speaker",1363
"social secur",1336
"suprem court",1332
"senat proceed",1263
"million peopl",1247
"work hard",1221
"last week",1204
"today honor",1202
"session senat",1144
"look forward",1142
"civil right",1111
"creat job",1104
"quorum call",1101
"back balanc",1090
"nt know",1087
"meet session",1075
"govern shutdown",1054
"rollcal vote",1045
"new jersey",1036
"author meet",1035
"today recogn",1023
"call rescind",1018
"home state",1018
"republican colleagu",1018
"consent order",1016
"absenc quorum",1015
"speaker ask",1011
"order quorum",1008
"yield time",1005
"want thank",1004
"depart homeland",1003
"rhode island",998
"would vote",997
"come floor",996
"come togeth",995
"major leader",995
"act chair",992
"hous republican",992
"judiciari committe",977
"nt want",975
"wo nt",975
"reserv balanc",963
"young peopl",960
"consent senat",955
"sexual assault",954
"around world",951
