"","x"
"mr speaker",18811
"unit state",9670
"health care",6047
"american peopl",5351
"mr presid",4758
"balanc time",3353
"unanim consent",3186
"ca nt",3111
"mr chairman",2992
"rise today",2921
"presid obama",2905
"ask unanim",2903
"would like",2831
"speaker rise",2828
"feder govern",2791
"last year",2330
"make sure",2242
"major leader",2140
"madam speaker",1941
"speaker yield",1842
"year ago",1818
"small busi",1765
"high school",1749
"reserv balanc",1701
"yield back",1673
"side aisl",1671
"madam presid",1644
"white hous",1633
"hous repres",1621
"yield floor",1599
"men women",1579
"urg colleagu",1571
"presid ask",1560
"yield minut",1548
"care law",1530
"back balanc",1481
"new york",1464
"health insur",1426
"care act",1395
"obama administr",1350
"nation secur",1320
"afford care",1292
"nt want",1277
"homeland secur",1253
"law enforc",1246
"nt know",1245
"last week",1234
"yield time",1231
"across countri",1230
"time may",1186
"air forc",1165
"wo nt",1163
"may consum",1160
"act chair",1150
"minut gentleman",1149
"fiscal year",1123
"suprem court",1091
"next year",1064
"world war",1059
"rank member",1056
"pass bill",1042
"thank gentleman",1039
"hard work",1032
"bill would",1021
"want thank",1015
"member congress",1008
"work togeth",1004
"speaker ask",988
"natur ga",982
"social secur",977
"million american",970
"move forward",962
"creat job",958
"million peopl",942
"piec legisl",939
"look forward",922
"colleagu support",910
"amend would",904
"even though",885
"one thing",870
"everi day",868
"war ii",866
"web site",857
"would say",848
"would vote",846
"nt get",823
"nt think",818
"would nt",810
"around world",809
"farm bill",807
"presid unit",805
"today recogn",798
"colleagu join",792
"mani year",774
"mani peopl",773
"washington dc",771
"offer amend",770
"congression district",761
"come floor",760
"re go",755
