"","x"
"ask unanim consent",2900
"mr speaker rise",2691
"speaker rise today",2286
"reserv balanc time",1688
"mr speaker yield",1551
"yield back balanc",1467
"back balanc time",1466
"health care law",1451
"presid ask unanim",1342
"afford care act",1254
"time may consum",1157
"mr presid ask",1114
"yield minut gentleman",1079
"yield time may",1032
"mr speaker ask",882
"world war ii",849
"presid unit state",800
"speaker ask unanim",764
"unit state america",725
"urg colleagu support",673
"speaker yield time",662
"unanim consent order",652
"quorum call rescind",645
"rise today recogn",637
"order quorum call",633
"consent order quorum",632
"suggest absenc quorum",599
"revis extend remark",597
"speaker yield minut",592
"unanim consent member",573
"rise today honor",566
"congression budget offic",552
"depart homeland secur",549
"mr chairman yield",495
"mr speaker move",469
"present would vote",468
"clerk read titl",467
"legisl day revis",463
"day revis extend",461
"health care plan",425
"presid health care",424
"keyston xl pipelin",418
"may legisl day",411
"member may legisl",411
"consent member may",410
"mr speaker proudli",409
"colleagu side aisl",402
"unit state congress",398
"boy scout america",394
"read titl bill",393
"speaker reserv balanc",373
"ask colleagu join",372
"mr speaker would",369
"includ extran materi",360
"suspend rule pass",356
"remark includ extran",355
"extend remark includ",353
"madam presid ask",353
"move suspend rule",353
"speaker move suspend",351
"health human servic",350
"follow senat necessarili",349
"necessarili absent senat",349
"senat necessarili absent",349
"mr speaker today",346
"floor suggest absenc",344
"yield floor suggest",343
"mr speaker reserv",337
"health care system",331
"arm servic committe",327
"act chair gentleman",318
"rule pass bill",318
"new york time",315
"speaker yield back",315
"mr speaker thank",314
"would like thank",312
"amend offer gentleman",310
"mr presid rise",305
"may consum mr",298
"wall street journal",296
"rise today support",294
"pass bill hr",290
"presid yield floor",287
"thank gentleman yield",286
"mr speaker want",283
"rise today congratul",281
"mr chairman rise",280
"madam speaker yield",279
"unit state armi",276
"chair question amend",275
"question amend offer",271
"time act chair",268
"men women uniform",267
"health care cost",259
"balanc time act",256
"consum mr speaker",253
"budget control act",249
"mr speaker pleas",248
"look forward work",243
"mr chairman amend",241
